0	1	2	-0.4869530401
0	1	3	-0.5317646966
0	1	4	-0.3725064454
0	1	5	-0.1848152197
0	1	6	-0.3185262064
0	1	7	-0.7801032215
0	1	8	-0.3963978368
0	1	9	-0.2807227117
1	6	7	-0.2754786643
1	6	8	-0.2015499743
1	6	9	-0.1219343261
1	8	9	-1.3066271367
0	2	3	-0.8963846189
0	2	4	-1.0218225511
0	2	5	-1.1710633213
0	2	6	-0.4330713385
0	2	7	-0.9939722422
0	2	8	-0.4632984679
0	2	9	-0.2932178369
1	4	5	-2.2244503059
1	4	6	-0.5454673751
1	4	7	-0.9087552662
1	4	8	-1.4474354944
1	4	9	-0.3949740590
2	3	4	-0.8828141304
2	3	5	-1.1809193600
2	3	6	0.0019201034
2	3	7	-0.3207033591
2	3	8	-1.7268815047
2	3	9	-0.1471640558
0	3	4	-0.0568329532
0	3	5	-1.7617501454
0	3	6	-0.2422916799
0	3	7	-0.3879323709
0	3	8	-0.2894905824
0	3	9	-1.2832870558
2	5	6	-0.3366865524
2	5	7	-0.5703228974
2	5	8	-0.0497796123
2	5	9	-0.9356071223
2	7	8	-0.1135500182
2	7	9	-0.6858492411
0	4	5	-1.0693470608
0	4	6	-0.6237230886
0	4	7	-0.6194157109
0	4	8	-0.6088756941
0	4	9	-0.4306246693
2	4	5	-3.2238603873
2	4	6	-1.0200761510
2	4	7	-0.7946489205
2	4	8	-1.0374707143
2	4	9	-0.3619559022
2	6	7	-1.2783346496
2	6	8	-0.3176752652
2	6	9	-0.0137633023
0	5	6	-1.4904254292
0	5	7	-2.9403494362
0	5	8	-0.4254513063
0	5	9	-1.3675843893
3	7	8	-0.3385573947
3	7	9	-0.1598006970
3	8	9	-1.3447754435
0	8	9	-1.8419601931
2	8	9	-0.7852962125
3	6	7	-0.1437113631
3	6	8	-0.6010098124
3	6	9	-0.7970396291
0	6	7	-0.4632708489
0	6	8	-1.4405375000
0	6	9	-1.3824492515
3	5	6	-0.6929466594
3	5	7	-1.7692342687
3	5	8	-0.0265778773
3	5	9	-1.1051438282
4	5	6	-2.3777554825
4	5	7	-1.6725840633
4	5	8	-0.4237170599
4	5	9	-1.7126014904
0	7	8	-0.9707325756
0	7	9	-0.2619487368
3	4	5	-1.0879934185
3	4	6	-0.5567840922
3	4	7	-0.6086106754
3	4	8	-0.5495771574
3	4	9	-0.2543267210
4	7	8	-0.3983992632
4	7	9	-0.1175568956
1	2	3	-0.2725507391
1	2	4	-1.8487128777
1	2	5	-0.0688921124
1	2	6	-0.0294838927
1	2	7	-0.0626420736
1	2	8	-0.2646577412
1	2	9	-0.0250387835
4	6	7	-0.5327584686
4	6	8	-2.9216975113
4	6	9	-0.1447831922
4	8	9	-0.9173309236
1	3	4	-0.6212640525
1	3	5	-0.3935062531
1	3	6	-0.1830509058
1	3	7	-0.5427303301
1	3	8	-0.2268251517
1	3	9	-1.0927093687
5	6	7	-2.2906002556
5	6	8	-0.6122555310
5	6	9	-0.3830180379
5	7	8	-0.4508952976
5	7	9	-0.7156990364
1	5	6	-0.4559676784
1	5	7	-0.3166289952
1	5	8	-0.2195028551
1	5	9	-0.6094784238
5	8	9	-1.8293099665
6	7	8	-0.6924056755
6	7	9	-0.0821398019
1	7	8	-0.7287153511
1	7	9	-0.1259115374
6	8	9	-1.5768256745
7	8	9	-0.3714552604
