0	1	2	-0.8014388052
0	1	3	-4.2528980662
0	1	4	-0.0164163516
0	1	5	-1.0282143136
0	1	6	-7.2739125257
0	1	7	-3.0913985522
0	1	8	-7.7610496453
0	1	9	-1.1251761592
1	6	7	-1.1500240036
1	6	8	-0.1434235614
1	6	9	0.0145826149
1	7	8	-3.7242381894
1	7	9	-3.1148484828
0	5	6	-0.0631038764
0	5	7	-1.9482540061
0	5	8	-0.0265186785
0	5	9	0.0298112978
2	6	7	-0.0665781986
2	6	8	-0.6829957421
2	6	9	-4.5724250139
3	5	6	-0.6260110638
3	5	7	-0.0523289995
3	5	8	0.0310124595
3	5	9	0.0113005394
0	4	5	-0.1056151435
0	4	6	-0.0067352939
0	4	7	-0.3624102431
0	4	8	-0.0642705479
0	4	9	-0.0526849761
3	4	5	-0.2353416646
3	4	6	-1.9004588284
3	4	7	-0.4340639987
3	4	8	-0.2881701668
3	4	9	-1.4043090803
3	8	9	-0.0719050842
1	2	3	-0.0357007017
1	2	4	0.0028045078
1	2	5	0.0010659849
1	2	6	-1.0026188738
1	2	7	-0.1119063070
1	2	8	-0.0061801446
1	2	9	0.0000348432
3	6	7	-0.1538961361
3	6	8	-0.0145535429
3	6	9	-4.7867880192
3	7	8	-0.5059494045
3	7	9	-3.0795509636
0	7	8	-0.5390807184
0	7	9	-0.2000758118
1	8	9	-0.6977368670
2	3	4	-7.7037957061
2	3	5	-0.0279334599
2	3	6	-0.9686905730
2	3	7	-1.5321820999
2	3	8	-0.0953788243
2	3	9	-0.7596074568
0	2	3	-0.1982962973
0	2	4	-1.2892145132
0	2	5	-2.4515958945
0	2	6	-7.7541439390
0	2	7	-0.6482500836
0	2	8	-0.4277346257
0	2	9	-0.4802768189
2	5	6	-0.2388622618
2	5	7	-2.4002368003
2	5	8	0.0072169987
2	5	9	-1.1329751841
2	7	8	-0.3387376327
2	7	9	-1.8524343695
0	8	9	-0.3089013304
2	4	5	-2.8669193338
2	4	6	-1.8192165062
2	4	7	-1.5922283100
2	4	8	-1.8170278425
2	4	9	-0.0683499580
2	8	9	-0.0195140507
1	4	5	-0.6910457358
1	4	6	0.1973750768
1	4	7	-1.0980027305
1	4	8	-1.8244614817
1	4	9	-0.0680514307
4	5	6	-0.0828085629
4	5	7	-3.9170909400
4	5	8	-0.0942387760
4	5	9	-0.6021602191
4	8	9	-0.3471868497
1	3	4	-1.9451571884
1	3	5	0.0118604450
1	3	6	-1.0631612577
1	3	7	-5.3361784764
1	3	8	-0.0039795107
1	3	9	-0.2083449489
4	6	7	-0.8137932842
4	6	8	-0.4570446194
4	6	9	0.0193920728
4	7	8	0.0013502942
4	7	9	-0.1969140415
0	6	7	-3.0275239758
0	6	8	-3.7497954128
0	6	9	-1.1178750525
5	6	7	-1.3716485899
5	6	8	0.6006040012
5	6	9	0.0856283182
5	7	8	-0.1599785640
5	7	9	-2.1352935279
0	3	4	-0.5073661513
0	3	5	-0.0056666589
0	3	6	-4.7500459567
0	3	7	-0.3155903135
0	3	8	-0.0296577539
0	3	9	-0.0576510258
5	8	9	0.0425721157
6	7	8	-1.1356161157
6	7	9	-3.2171557641
1	5	6	-0.0119640262
1	5	7	-0.2574776305
1	5	8	0.0130760234
1	5	9	-0.8038772422
6	8	9	-3.3252596385
7	8	9	-0.6726695646
