0	1	2	-0.4605907816
0	1	3	-0.3941485903
0	1	4	-0.4134156605
0	1	5	-0.4759948280
0	1	6	-0.5482176517
0	1	7	-0.6846748095
0	1	8	-0.2166694191
0	1	9	-0.4367519135
1	6	7	-0.6543073574
1	6	8	-0.1961209518
1	6	9	-0.3784834519
1	7	8	-0.1181415300
1	7	9	-0.3221519926
0	3	4	-0.0498259199
0	3	5	-0.7433928780
0	3	6	-0.2422916799
0	3	7	-0.1427077265
0	3	8	-0.2894905824
0	3	9	-1.2832870558
1	8	9	-0.7173227075
2	3	4	-1.9326628589
2	3	5	-0.7429393661
2	3	6	0.0007190209
2	3	7	-0.1970113594
2	3	8	-2.3997450763
2	3	9	-0.0138864705
0	8	9	-1.8419601931
2	4	5	-1.7320431396
2	4	6	-0.3230438277
2	4	7	-0.1907427506
2	4	8	-0.9415306911
2	4	9	-0.0312059009
2	7	8	-0.4438883364
2	7	9	-0.4493615849
0	7	8	-0.5261744623
0	7	9	-0.2731198257
2	5	6	-0.8010146218
2	5	7	-1.0719105079
2	5	8	-1.5217844598
2	5	9	-0.5454387835
2	6	7	-1.7727702056
2	6	8	-2.5926933864
2	6	9	-0.0204506340
0	4	5	-0.5411528999
0	4	6	-0.3039193254
0	4	7	-0.9616011893
0	4	8	-0.3921443089
0	4	9	-0.7606691689
2	8	9	-0.3353541044
3	6	7	-0.1308145879
3	6	8	-0.6010098124
3	6	9	-0.7970396291
1	2	3	-0.2808112908
1	2	4	-1.3814343185
1	2	5	-0.1856570027
1	2	6	-0.0140217268
1	2	7	-0.0973429798
1	2	8	-3.0726839492
1	2	9	-0.0073472749
3	4	5	-0.4565057858
3	4	6	-0.1315025107
3	4	7	-0.5152909013
3	4	8	-0.5381401074
3	4	9	-0.2859617102
3	8	9	-1.3447754435
0	2	3	-1.1855616011
0	2	4	-0.7232159799
0	2	5	-2.2799891210
0	2	6	-0.5521864422
0	2	7	-1.2639633847
0	2	8	-2.0787710682
0	2	9	-0.1485973361
3	7	8	-0.1149221372
3	7	9	-0.1486739144
4	6	7	-0.2494568539
4	6	8	-0.7190042760
4	6	9	-0.0975972699
0	6	7	-0.4799609164
0	6	8	-1.4405375000
0	6	9	-1.3824492515
3	5	6	-0.5016819443
3	5	7	-0.7541273821
3	5	8	-0.0905642107
3	5	9	-0.4799036850
4	5	6	-0.8812341607
4	5	7	-0.7485338597
4	5	8	-0.7662227670
4	5	9	-1.1605855187
0	5	6	-1.0132903323
0	5	7	-1.2643822799
0	5	8	-0.4179225474
0	5	9	-0.5568544068
4	7	8	-0.0829507607
4	7	9	-0.2174411019
4	8	9	-0.7776472469
1	4	5	-0.9412920819
1	4	6	-0.2000207418
1	4	7	-0.4123290669
1	4	8	-0.8371646741
1	4	9	-0.5576978390
5	6	7	-2.4957360255
5	6	8	-0.6246784872
5	6	9	-0.1640673914
5	8	9	-1.3554834973
1	5	6	-0.2498892610
1	5	7	-0.1406467252
1	5	8	-0.1294382145
1	5	9	-0.4276852187
5	7	8	-0.9871555482
5	7	9	-0.5091602521
6	7	8	-0.7120630508
6	7	9	-0.0844185786
1	3	4	-0.6389566248
1	3	5	-0.1424562780
1	3	6	-0.1953393107
1	3	7	-0.2199753349
1	3	8	-0.3324397866
1	3	9	-0.8901725996
6	8	9	-1.5768256745
7	8	9	-0.3906135877
