0	1	2	-0.6310515083
0	1	3	-1.4752918498
0	1	4	-0.1771465600
0	1	5	-0.6027382615
0	1	6	-2.5562133937
0	1	7	-0.9454703662
0	1	8	-14.0579821938
0	1	9	-1.9308875213
0	5	6	-0.8104534387
0	5	7	-13.5143259165
0	5	8	-1.2199483923
0	5	9	-0.3549986316
0	7	8	-1.9173384745
0	7	9	-0.2190589175
0	2	3	-1.1977867017
0	2	4	-1.0201407198
0	2	5	-7.7541439390
0	2	6	-7.7541439390
0	2	7	-0.6346897453
0	2	8	-0.8066273673
0	2	9	-0.3998634228
1	8	9	-1.2455355472
2	3	4	-2.0926351928
2	3	5	-0.5812703674
2	3	6	-0.5812703674
2	3	7	-0.7510056059
2	3	8	-0.8127213132
2	3	9	-0.7958843886
0	3	4	-1.3189566975
0	3	5	-10.4471553793
0	3	6	-10.4471553793
0	3	7	-0.8019884710
0	3	8	-1.1561061723
0	3	9	-1.7035437955
2	4	5	-1.7073183833
2	4	6	-3.1036023286
2	4	7	-0.5966825780
2	4	8	-0.6930138531
2	4	9	-0.0585152240
2	5	6	-1.0027390107
2	5	7	-0.5531591798
2	5	8	-0.0009859394
2	5	9	-0.6928756982
0	6	7	-13.5143259165
0	6	8	-10.1688042243
0	6	9	-1.0097998812
2	6	7	-0.5531591798
2	6	8	-2.1115185027
2	6	9	-4.2011865876
2	7	8	-0.1568813065
2	7	9	-0.8261531253
1	4	5	-0.6294936412
1	4	6	0.1653082695
1	4	7	-0.2572308643
1	4	8	-8.7439002808
1	4	9	0.0535008997
2	8	9	-0.0627792546
3	4	5	-1.0999235056
3	4	6	-6.5707241627
3	4	7	-0.1710020581
3	4	8	-0.5234059527
3	4	9	-0.6092541715
0	8	9	-0.7480302255
3	5	6	-3.7147805813
3	5	7	-0.5823855059
3	5	8	-0.1750858431
3	5	9	-1.1923097165
3	8	9	-1.2346608565
1	6	7	-0.2939430898
1	6	8	-1.6280553696
1	6	9	0.1043320566
3	6	7	-0.5823855059
3	6	8	-1.8324731416
3	6	9	-2.3936077883
3	7	8	-0.1703699280
3	7	9	-0.1432601563
0	4	5	-0.2472668608
0	4	6	-0.0247998740
0	4	7	-0.8904392959
0	4	8	-0.2461232768
0	4	9	-0.1230058384
4	6	7	-6.4214411531
4	6	8	-4.0584895627
4	6	9	0.1550740057
4	7	8	-0.6077949175
4	7	9	-0.1675417794
1	2	3	-0.3253466777
1	2	4	-0.1306608678
1	2	5	-0.0087678755
1	2	6	-0.5677656800
1	2	7	-0.0131115500
1	2	8	-0.0477181656
1	2	9	0.0243706277
4	5	6	-0.0348654267
4	5	7	-1.0436006566
4	5	8	-0.2926029035
4	5	9	-0.4391260964
4	8	9	-0.4474497233
1	7	8	-0.7327678163
1	7	9	-0.2065303366
5	6	7	-3.5734015107
5	6	8	-0.7960355899
5	6	9	-0.1406621758
5	7	8	-0.6776844957
5	7	9	-0.9510515273
1	3	4	-4.3781778084
1	3	5	-0.6852224225
1	3	6	-1.3196390935
1	3	7	-0.5231450857
1	3	8	-0.7904444270
1	3	9	-0.8440869325
5	8	9	-0.5348959980
6	7	8	-3.8811117505
6	7	9	-2.0227030683
1	5	6	-0.4668768417
1	5	7	-0.1520537816
1	5	8	-0.2386137548
1	5	9	-0.4802413420
6	8	9	-1.6352297606
7	8	9	-0.3816241328
