0	1	2	-0.4416945762
0	1	3	-0.4045587740
0	1	4	-0.1727324789
0	1	5	-0.2742941225
0	1	6	-0.1189292050
0	1	7	-0.3065506803
0	1	8	-0.2524873331
0	1	9	-0.7007843711
1	6	7	-0.1582806020
1	6	8	-0.0872341433
1	6	9	-0.0985748090
1	7	8	-0.0746257783
1	7	9	-0.3605883559
0	3	4	-0.0145005309
0	3	5	-0.5958914818
0	3	6	-0.2024972055
0	3	7	-0.0811069487
0	3	8	-0.0179582537
0	3	9	-0.5088422497
1	8	9	-0.5281369187
2	3	4	-0.6710087244
2	3	5	-0.6192188702
2	3	6	-0.0003679581
2	3	7	-0.1443029540
2	3	8	-0.0537221580
2	3	9	-0.0387714244
0	2	3	-0.2824506781
0	2	4	-0.0952613422
0	2	5	-0.5440079127
0	2	6	-0.1809835359
0	2	7	-0.3075779081
0	2	8	-0.2563053306
0	2	9	-0.1914649571
2	4	5	-0.7218754619
2	4	6	-0.0641319539
2	4	7	-0.0920106837
2	4	8	-0.4768963000
2	4	9	-0.0969603461
2	5	6	-0.5178028373
2	5	7	-0.6649038322
2	5	8	-0.6768113307
2	5	9	-0.2128861285
0	7	8	-0.6349215594
0	7	9	-0.3172282669
2	7	8	-0.4115401350
2	7	9	-0.0886727560
3	7	8	-0.0090057827
3	7	9	-0.2254847739
0	4	5	-0.6456010735
0	4	6	-0.3978505390
0	4	7	-0.4653805829
0	4	8	-0.7997317336
0	4	9	-0.3948582945
2	8	9	-0.1024957043
3	4	5	-0.7373175781
3	4	6	-0.3563622212
3	4	7	-0.5741709525
3	4	8	-0.2628257138
3	4	9	-0.3717495142
0	6	7	-0.0985730025
0	6	8	-0.0899093025
0	6	9	-1.2826008951
3	6	7	-0.2191534698
3	6	8	-0.1062834814
3	6	9	-0.9527993824
4	6	7	-0.1720455406
4	6	8	-0.1612114660
4	6	9	-0.2728344127
0	8	9	-0.3737112048
2	6	7	-0.1552052895
2	6	8	-0.1369349588
2	6	9	-0.0152116692
3	8	9	-0.3943815325
0	5	6	-0.1861770993
0	5	7	-0.2444526716
0	5	8	-0.5610131627
0	5	9	-0.3919067344
3	5	6	-0.3570306894
3	5	7	-0.4420141913
3	5	8	-0.0448554403
3	5	9	-1.0690217495
4	7	8	-0.2835070877
4	7	9	-0.2909218292
1	2	3	-0.2504793405
1	2	4	-0.8498549650
1	2	5	-1.3474400176
1	2	6	0.0031914376
1	2	7	-0.0620026644
1	2	8	-0.8838981017
1	2	9	-0.0306997646
4	5	6	-0.4488822295
4	5	7	-0.9158024077
4	5	8	-0.8778806095
4	5	9	-1.0254246757
4	8	9	-0.5064992381
1	3	4	-0.5051282725
1	3	5	-0.0442199360
1	3	6	-0.3106953623
1	3	7	-0.1624493933
1	3	8	-0.1160717113
1	3	9	-1.1429868884
5	6	7	-1.5008782942
5	6	8	-0.6481721022
5	6	9	-0.2159308443
5	7	8	-0.5050848310
5	7	9	-0.4287146816
1	4	5	-0.1893511000
1	4	6	-0.0387854014
1	4	7	-0.1146375037
1	4	8	-0.5350159362
1	4	9	-0.4601453590
5	8	9	-0.5809963820
6	7	8	-0.7427166750
6	7	9	0.0022832511
1	5	6	-0.0384019101
1	5	7	-0.2108289783
1	5	8	-0.1373663807
1	5	9	-0.4867950342
6	8	9	-0.1233313092
7	8	9	-0.2061901979
