0	1	2	-0.0664183643
0	1	3	-0.2351707860
0	1	4	-0.2136380656
0	1	5	-0.5114343404
0	1	6	-0.1012027727
0	1	7	-0.1633832529
0	1	8	-0.2601770763
0	1	9	-0.5848085316
1	6	7	-0.1785063620
1	6	8	-0.0680534187
1	6	9	-0.2156701222
1	7	8	-0.0741678600
1	7	9	-0.3214926582
0	5	6	-0.2402987062
0	5	7	-0.1222032281
0	5	8	-0.3698734694
0	5	9	-0.0825338456
1	8	9	-0.2019757022
2	3	4	-0.2549249396
2	3	5	-0.0507649903
2	3	6	-0.0087580251
2	3	7	-0.0557277536
2	3	8	-0.0132392686
2	3	9	-0.0156761520
0	2	3	-0.0202143551
0	2	4	-0.0177327061
0	2	5	-0.0467167468
0	2	6	-0.0717827508
0	2	7	-0.1726612397
0	2	8	-0.0917174980
0	2	9	-0.0595951012
2	4	5	-0.2963516768
2	4	6	-0.1192386859
2	4	7	-0.0803538067
2	4	8	-0.2499343355
2	4	9	-0.0183278988
2	8	9	-0.0426568934
1	3	4	-0.4250896157
1	3	5	-0.0583217969
1	3	6	-0.1376866283
1	3	7	-0.1624493933
1	3	8	-0.1010826986
1	3	9	-0.6854473415
2	6	7	-0.1502881848
2	6	8	-0.0651193327
2	6	9	-0.0398059052
3	8	9	-0.5403858930
0	6	7	-0.0848079497
0	6	8	-0.1334348254
0	6	9	-0.5941001631
2	7	8	-0.2450030927
2	7	9	-0.0382059792
3	6	7	-0.0773920308
3	6	8	-0.0570593346
3	6	9	-0.6159111734
1	5	6	-0.0475618349
1	5	7	-0.2134202119
1	5	8	-0.0492660194
1	5	9	-0.2561864151
2	5	6	-0.0782280265
2	5	7	-0.1921985283
2	5	8	-0.1738314029
2	5	9	-0.3822407984
3	7	8	-0.0108132148
3	7	9	-0.1163735217
0	8	9	-0.6381511447
4	7	8	-0.2582786535
4	7	9	-0.1747643543
4	8	9	-0.3139633996
1	4	5	-0.4475051153
1	4	6	-0.1285609075
1	4	7	-0.1199380861
1	4	8	-0.5705956704
1	4	9	-0.1058663886
3	4	5	-0.6340780603
3	4	6	-0.3131449709
3	4	7	-0.6594990588
3	4	8	-0.2108504397
3	4	9	-0.0629913588
4	6	7	-0.2442510052
4	6	8	-0.4281696177
4	6	9	-0.4265715562
0	4	5	-0.6835447057
0	4	6	-0.6631241139
0	4	7	-0.5260808816
0	4	8	-1.0351346944
0	4	9	-0.1179893784
3	5	6	-0.3155052491
3	5	7	-0.2652489118
3	5	8	-0.0574386966
3	5	9	-0.2286234884
4	5	6	-0.9572148145
4	5	7	-0.7884885262
4	5	8	-1.1934787905
4	5	9	-0.2460465205
0	3	4	-0.0422364944
0	3	5	-0.3304189575
0	3	6	-0.0945611203
0	3	7	-0.1238982537
0	3	8	-0.0717685356
0	3	9	-0.4043124472
5	6	7	-1.0974872676
5	6	8	-0.6656493053
5	6	9	-0.3417087853
5	7	8	-0.2062896605
5	7	9	-0.2492780945
0	7	8	-0.5448426203
0	7	9	-0.0537045420
5	8	9	-0.2445539785
6	7	8	-0.2320396120
6	7	9	-0.1395534725
1	2	3	-0.0647447392
1	2	4	-0.2545560946
1	2	5	-0.1448317311
1	2	6	-0.0883946602
1	2	7	-0.0118463476
1	2	8	-0.0931223651
1	2	9	-0.0174872387
6	8	9	-0.1929706231
7	8	9	-0.1694176034
