0	1	2	-0.3870513375
0	1	3	-0.3941485903
0	1	4	-0.4134156605
0	1	5	-0.4759948280
0	1	6	-0.5418465537
0	1	7	-0.6846748095
0	1	8	-0.2166694191
0	1	9	-0.4367519135
1	6	7	-0.9128010078
1	6	8	-0.4865551645
1	6	9	-0.3134165509
1	7	8	-0.1181415300
1	7	9	-0.3221519926
0	6	7	-0.4136976513
0	6	8	-1.1096179987
0	6	9	-1.1103755150
1	8	9	-0.7173227075
2	3	4	-0.6617731374
2	3	5	-0.6997667302
2	3	6	0.0011000401
2	3	7	-0.1384508069
2	3	8	-1.4331790650
2	3	9	-0.0124077631
0	5	6	-1.0260537748
0	5	7	-1.2643822799
0	5	8	-0.4179225474
0	5	9	-0.5568544068
2	5	6	-0.7874804626
2	5	7	-1.6975397770
2	5	8	-2.6848013727
2	5	9	-0.4748952912
2	7	8	-0.7735986502
2	7	9	-0.1832414107
0	7	8	-0.5261744623
0	7	9	-0.2731198257
2	4	5	-1.6497950139
2	4	6	-0.0688091372
2	4	7	-0.1244218737
2	4	8	-0.6388086274
2	4	9	-0.0168654859
2	6	7	-0.6026961757
2	6	8	-0.4689478487
2	6	9	-0.0206061104
1	4	5	-0.9412920819
1	4	6	-0.2046459207
1	4	7	-0.4123290669
1	4	8	-0.8371646741
1	4	9	-0.5576978390
2	8	9	-0.1897610202
3	6	7	-0.2333445913
3	6	8	-1.1896615941
3	6	9	-0.6731693909
0	3	4	-0.0498259199
0	3	5	-0.7433928780
0	3	6	-0.2428449654
0	3	7	-0.1427077265
0	3	8	-0.2894905824
0	3	9	-1.2832870558
3	5	6	-0.4624952418
3	5	7	-0.7541273821
3	5	8	-0.0905642107
3	5	9	-0.4799036850
3	8	9	-1.3447754435
1	2	3	-0.2155551537
1	2	4	-0.9807223285
1	2	5	-0.5346399593
1	2	6	-0.0038528506
1	2	7	-0.2391503221
1	2	8	-2.1669064944
1	2	9	0.0006277497
3	4	5	-0.4565057858
3	4	6	-0.1365366688
3	4	7	-0.5152909013
3	4	8	-0.5381401074
3	4	9	-0.2859617102
3	7	8	-0.1149221372
3	7	9	-0.1486739144
1	5	6	-0.2365607457
1	5	7	-0.1406467252
1	5	8	-0.1294382145
1	5	9	-0.4276852187
4	5	6	-0.9202094426
4	5	7	-0.7485338597
4	5	8	-0.7662227670
4	5	9	-1.1605855187
4	7	8	-0.0829507607
4	7	9	-0.2174411019
1	3	4	-0.6389566248
1	3	5	-0.1424562780
1	3	6	-0.1705215686
1	3	7	-0.2199753349
1	3	8	-0.3324397866
1	3	9	-0.8901725996
4	6	7	-0.1753185648
4	6	8	-0.5237137481
4	6	9	-0.0904755920
4	8	9	-0.7776472469
0	2	3	-1.3197295362
0	2	4	-0.1951140461
0	2	5	-2.0172000011
0	2	6	-0.1548819439
0	2	7	-0.9771637430
0	2	8	-1.4981036314
0	2	9	-0.1236264197
5	6	7	-3.2043706984
5	6	8	-1.3349004851
5	6	9	-0.1228412971
5	8	9	-1.3554834973
0	4	5	-0.5411528999
0	4	6	-0.3783941896
0	4	7	-0.9616011893
0	4	8	-0.3921443089
0	4	9	-0.7606691689
5	7	8	-0.9871555482
5	7	9	-0.5091602521
6	7	8	-0.9751991311
6	7	9	0.0130428164
0	8	9	-1.8419601931
6	8	9	-0.7597361550
7	8	9	-0.3906135877
