0	1	2	-0.0834744574
0	1	3	-0.2094020763
0	1	4	-0.1836753921
0	1	5	-0.5071517773
0	1	6	-0.1368846686
0	1	7	-0.1733023902
0	1	8	-0.1370962971
0	1	9	-0.2926871667
1	7	8	-0.0298376602
1	7	9	-0.3206267539
1	8	9	-0.0981690377
0	8	9	-0.6381511447
1	6	7	-0.2085389219
1	6	8	-0.0786381136
1	6	9	-0.2363227855
2	3	4	-0.2009979705
2	3	5	-0.0507649903
2	3	6	-0.0087580251
2	3	7	-0.0557277536
2	3	8	-0.0132392686
2	3	9	-0.0156761520
0	7	8	-0.5448426203
0	7	9	-0.0537045420
2	4	5	-0.3112563790
2	4	6	-0.1316296766
2	4	7	-0.0805591908
2	4	8	-0.2548775906
2	4	9	-0.0256364876
2	6	7	-0.1502881848
2	6	8	-0.0651193327
2	6	9	-0.0398059052
1	2	3	-0.1464180323
1	2	4	-0.2697944106
1	2	5	-0.1235870746
1	2	6	-0.1886976663
1	2	7	-0.0169918124
1	2	8	-0.1098535161
1	2	9	-0.0169366306
2	7	8	-0.2450030927
2	7	9	-0.0382059792
3	5	6	-0.3155052491
3	5	7	-0.2652489118
3	5	8	-0.0574386966
3	5	9	-0.2286234884
0	5	6	-0.2402987062
0	5	7	-0.1222032281
0	5	8	-0.3698734694
0	5	9	-0.0825338456
2	5	6	-0.0782280265
2	5	7	-0.1921985283
2	5	8	-0.1738314029
2	5	9	-0.3822407984
3	6	7	-0.0773920308
3	6	8	-0.0570593346
3	6	9	-0.6159111734
0	3	4	-0.0612218541
0	3	5	-0.3304189575
0	3	6	-0.0945611203
0	3	7	-0.1238982537
0	3	8	-0.0717685356
0	3	9	-0.4043124472
2	8	9	-0.0426568934
3	4	5	-0.5788372548
3	4	6	-0.1302891664
3	4	7	-0.3892685700
3	4	8	-0.0734781566
3	4	9	-0.0629690775
1	4	5	-0.3860706638
1	4	6	-0.1792821902
1	4	7	-0.1338137668
1	4	8	-0.3094528234
1	4	9	-0.1289719826
3	7	8	-0.0108132148
3	7	9	-0.1163735217
4	6	7	-0.2736427174
4	6	8	-0.4375002315
4	6	9	-0.3907423946
1	3	4	-0.3154713861
1	3	5	-0.0493470183
1	3	6	-0.2843165528
1	3	7	-0.1714614988
1	3	8	-0.0713223943
1	3	9	-0.6281778088
3	8	9	-0.5403858930
4	5	6	-0.8726943117
4	5	7	-0.8061454064
4	5	8	-0.6942466168
4	5	9	-0.2906495980
1	5	6	-0.0574347232
1	5	7	-0.1801983411
1	5	8	-0.0667641861
1	5	9	-0.0903185494
4	7	8	-0.1509365750
4	7	9	-0.1956820562
4	8	9	-0.1522528339
0	6	7	-0.0848079497
0	6	8	-0.1334348254
0	6	9	-0.5941001631
5	7	8	-0.2062896605
5	7	9	-0.2492780945
5	8	9	-0.2445539785
0	2	3	-0.0202143551
0	2	4	-0.0141216645
0	2	5	-0.0467167468
0	2	6	-0.0717827508
0	2	7	-0.1726612397
0	2	8	-0.0917174980
0	2	9	-0.0595951012
5	6	7	-1.0974872676
5	6	8	-0.6656493053
5	6	9	-0.3417087853
6	7	8	-0.2320396120
6	7	9	-0.1395534725
0	4	5	-0.6118860886
0	4	6	-0.3445802375
0	4	7	-0.3164133931
0	4	8	-0.6089986228
0	4	9	-0.1076145254
6	8	9	-0.1929706231
7	8	9	-0.1694176034
