0	1	2	-0.6470853232
0	1	3	-0.3008301393
0	1	4	-0.3518279539
0	1	5	-0.6013115755
0	1	6	-0.2656726064
0	1	7	-0.5072700048
0	1	8	-0.3846877221
0	1	9	-0.6805649476
1	6	7	-1.0287604052
1	6	8	-0.4472486143
1	6	9	-0.2794891619
1	7	8	-0.0922568576
1	7	9	-0.2741737235
0	2	3	-1.3197295362
0	2	4	-0.1951140461
0	2	5	-1.9838735038
0	2	6	-0.1548819439
0	2	7	-0.9771637430
0	2	8	-1.4981036314
0	2	9	-0.1236264197
1	8	9	-0.7616380617
2	3	4	-0.6617731374
2	3	5	-0.6525400371
2	3	6	0.0011000401
2	3	7	-0.1384508069
2	3	8	-1.4331790650
2	3	9	-0.0124077631
0	6	7	-0.4136976513
0	6	8	-1.1096179987
0	6	9	-1.1103755150
2	4	5	-1.3433543366
2	4	6	-0.0688091372
2	4	7	-0.1244218737
2	4	8	-0.6388086274
2	4	9	-0.0168654859
2	6	7	-0.6026961757
2	6	8	-0.4689478487
2	6	9	-0.0206061104
0	7	8	-0.5261744623
0	7	9	-0.2731198257
2	5	6	-0.6910104537
2	5	7	-1.6013107565
2	5	8	-2.2773662131
2	5	9	-0.3542729850
2	7	8	-0.7735986502
2	7	9	-0.1832414107
0	4	5	-0.5447095109
0	4	6	-0.3783941896
0	4	7	-0.9616011893
0	4	8	-0.3921443089
0	4	9	-0.7606691689
2	8	9	-0.1897610202
3	4	5	-0.4517483022
3	4	6	-0.1365366688
3	4	7	-0.5152909013
3	4	8	-0.5381401074
3	4	9	-0.2859617102
0	3	4	-0.0498259199
0	3	5	-0.7992970871
0	3	6	-0.2428449654
0	3	7	-0.1427077265
0	3	8	-0.2894905824
0	3	9	-1.2832870558
3	5	6	-0.1482691629
3	5	7	-0.3968405850
3	5	8	-0.0892663737
3	5	9	-0.4750977841
3	6	7	-0.2333445913
3	6	8	-1.1896615941
3	6	9	-0.6731693909
0	8	9	-1.8419601931
3	7	8	-0.1149221372
3	7	9	-0.1486739144
4	7	8	-0.0829507607
4	7	9	-0.2174411019
0	5	6	-0.4233516098
0	5	7	-0.6885394695
0	5	8	-0.4203927372
0	5	9	-0.5602134553
3	8	9	-1.3447754435
4	5	6	-0.8211144481
4	5	7	-0.7413989994
4	5	8	-0.7646616989
4	5	9	-1.1588715471
1	2	3	-0.2508156603
1	2	4	-1.0040908611
1	2	5	-0.5308403358
1	2	6	-0.0005145213
1	2	7	-0.1955833236
1	2	8	-2.2360807236
1	2	9	0.0006945331
4	8	9	-0.7776472469
5	7	8	-0.9786194186
5	7	9	-0.5040929628
1	4	5	-0.7601964106
1	4	6	-0.0052703341
1	4	7	-0.1455421061
1	4	8	-0.8649351820
1	4	9	-0.5766155292
4	6	7	-0.1753185648
4	6	8	-0.5237137481
4	6	9	-0.0904755920
5	6	7	-3.3425744673
5	6	8	-1.2177834365
5	6	9	-0.1020456731
1	3	4	-0.3360122990
1	3	5	-0.1569862024
1	3	6	-0.1528104503
1	3	7	-0.2303200059
1	3	8	-0.3833985360
1	3	9	-0.9908228641
5	8	9	-1.3528071171
6	7	8	-0.9751991311
6	7	9	0.0130428164
1	5	6	-0.1677077031
1	5	7	-0.0908491788
1	5	8	-0.0931148138
1	5	9	-0.3363461228
6	8	9	-0.7597361550
7	8	9	-0.3906135877
